"date","INDPRO","CPI","UNEMP"
"1947-01-01",14.1973,21.48,NA
"1947-02-01",14.2811,21.62,NA
"1947-03-01",14.365,22.0,NA
"1947-04-01",14.2532,22.0,NA
"1947-05-01",14.3091,21.95,NA
"1947-06-01",14.3091,22.08,NA
"1947-07-01",14.2253,22.23,NA
"1947-08-01",14.3091,22.4,NA
"1947-09-01",14.4209,22.84,NA
"1947-10-01",14.5606,22.91,NA
"1947-11-01",14.7562,23.06,NA
"1947-12-01",14.8121,23.41,NA
"1948-01-01",14.896,23.68,3.4
"1948-02-01",14.924,23.67,3.8
"1948-03-01",14.7563,23.5,4.0
"1948-04-01",14.7842,23.82,3.9
"1948-05-01",15.0357,24.01,3.5
"1948-06-01",15.2313,24.15,3.6
"1948-07-01",15.2314,24.4,3.6
"1948-08-01",15.1755,24.43,3.9
"1948-09-01",15.0637,24.36,3.8
"1948-10-01",15.1755,24.31,3.7
"1948-11-01",14.9798,24.16,3.8
"1948-12-01",14.8401,24.05,4.0
"1949-01-01",14.7004,24.01,4.3
"1949-02-01",14.5606,23.91,4.7
"1949-03-01",14.2811,23.91,5.0
"1949-04-01",14.1973,23.92,5.3
"1949-05-01",14.0017,23.91,6.1
"1949-06-01",13.9737,23.92,6.2
"1949-07-01",13.9458,23.7,6.7
"1949-08-01",14.0855,23.7,6.8
"1949-09-01",14.2253,23.75,6.6
"1949-10-01",13.6943,23.67,7.9
"1949-11-01",14.0576,23.7,6.4
"1949-12-01",14.3091,23.61,6.6
"1950-01-01",14.5606,23.51,6.5
"1950-02-01",14.6165,23.61,6.4
"1950-03-01",15.0916,23.64,6.3
"1950-04-01",15.5947,23.65,5.8
"1950-05-01",15.958,23.77,5.5
"1950-06-01",16.4331,23.88,5.4
"1950-07-01",16.9641,24.07,5.0
"1950-08-01",17.4951,24.2,4.5
"1950-09-01",17.3833,24.34,4.4
"1950-10-01",17.4951,24.5,4.2
"1950-11-01",17.4672,24.6,4.2
"1950-12-01",17.7746,24.98,4.3
"1951-01-01",17.8305,25.38,3.7
"1951-02-01",17.9423,25.83,3.4
"1951-03-01",18.0261,25.88,3.4
"1951-04-01",18.0541,25.92,3.1
"1951-05-01",17.9982,25.99,3.0
"1951-06-01",17.9143,25.93,3.2
"1951-07-01",17.6348,25.91,3.1
"1951-08-01",17.4672,25.86,3.1
"1951-09-01",17.579,26.03,3.3
